entity,method_cnt,method_post,protocol_1_0,status_major,status_404,status_499,status_cnt,path_same,path_xmlrpc,ua_cnt,has_payload,bytes_avg,bytes_std
146.190.135.19,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
128.14.209.162,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,396.0,0.0
45.79.181.94,1.0,0.0,False,0.0,0.0,False,2.0,0.2222222222222222,0.0,1.0,True,200.33333333333334,73.43326524433218
144.255.16.12,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
185.180.143.50,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,396.0,0.0
221.11.4.158,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,612.0,0.0
220.250.11.48,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,564.0,0.0
104.152.52.92,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
172.104.11.34,1.0,0.0,False,0.0,0.0,False,2.0,0.5,0.0,1.0,True,393.75,278.0201206747454
103.80.134.74,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
91.204.226.19,1.0,0.0,False,0.0,0.0,False,2.0,0.3333333333333333,0.0,0.0,True,212.0,141.4213562373095
162.142.125.222,1.0,0.0,False,0.0,0.0,False,3.0,0.5,0.0,0.0,True,327.0,193.1035991378721
84.241.45.61,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,612.0,0.0
45.95.146.119,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,396.0,0.0
167.94.146.51,1.0,0.0,False,0.0,0.0,False,3.0,0.5,0.0,0.0,True,327.0,193.1035991378721
172.105.128.11,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
209.160.106.188,2.0,0.5,False,0.0,0.0,False,2.0,0.5,0.0,0.0,True,150.0,16.0
205.210.31.147,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
198.235.24.140,1.0,0.0,True,0.0,0.0,False,2.0,0.5,0.0,0.0,True,389.0,223.0
54.242.123.202,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,162.0,0.0
94.102.61.10,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,395.75,184.3242726826828
198.235.24.5,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
205.210.31.248,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
87.251.64.11,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
60.13.138.179,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
27.98.228.252,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,612.0,0.0
220.173.208.245,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,564.0,0.0
149.129.50.37,1.0,0.0,False,0.0,0.0,False,2.0,0.3333333333333333,0.0,0.0,True,164.66666666666666,1.8856180831641267
180.247.86.42,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,612.0,0.0
167.94.138.33,1.0,0.0,False,0.0,0.0,False,3.0,0.38461538461538464,0.0,0.0,True,1640.923076923077,4022.9077019859938
92.118.39.40,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
184.105.247.194,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
107.170.238.45,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,396.0,0.0
162.216.150.11,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
121.29.178.42,1.0,0.0,True,0.0,0.0,False,1.0,1.0,0.0,0.0,True,612.0,0.0
58.18.161.10,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,612.0,0.0
124.235.138.129,1.0,0.0,False,0.0,0.0,False,1.0,1.0,0.0,1.0,True,564.0,0.0
165.22.114.52,0.0,0.0,False,0.0,0.0,False,1.0,0.0,0.0,0.0,True,166.0,0.0
