entity,method_cnt,method_post,protocol_1_0,status_major,status_404,status_499,status_cnt,path_same,path_xmlrpc,ua_cnt,has_payload,bytes_avg,bytes_std,cluster_kmeans,cluster_dbscan,pca_1,pca_2,cluster,tsne-2d-one,tsne-2d-two
167.71.144.249,0.3333333333333333,0.0,False,0.0,0.0,False,0.33333333333333337,0.1333333333333333,0.0,0.07692307692307693,True,5.677417418810968e-06,8.183606304249845e-07,1,0,0.5730328898576417,0.06938249632189537,1,18.068058,10.329068
107.170.232.57,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.0760644373879118e-05,0.0,0,0,-0.28002838856988627,-0.2080596832810643,1,-40.565742,-15.925442
103.94.5.202,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,4.191302,-40.099262
167.94.138.35,0.3333333333333333,0.0,False,0.0,0.0,False,0.33333333333333337,0.5,0.0,0.0,True,8.885683611763817e-06,2.0645175105957662e-06,1,0,0.22785147787964863,-0.04136106527734419,1,1.0852419,10.866209
202.142.100.240,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,3.6604793,-36.429016
89.190.156.152,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,0.0,0.0,0,2,-0.5899069145153404,0.7379469429266049,3,-19.99547,25.798353
138.68.224.69,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,5.353148842561077e-06,0.0,0,0,-0.27826268663864434,-0.21070880372882814,1,-4.21445,-3.3392694
185.170.144.3,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,41.847176,8.330199
138.197.24.55,0.3333333333333333,0.0,False,0.0,0.0,False,0.33333333333333337,0.1333333333333333,0.0,0.07692307692307693,True,5.677417418810968e-06,8.183606304249845e-07,1,0,0.5730328898576417,0.06938249632189537,1,18.068058,10.329068
107.170.247.39,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,3.6412281467166714e-06,0.0,0,0,-0.280028426734192,-0.20805969323322274,1,-40.31187,12.351026
